Student ID,Image ID,T_Bar Height,T_Bar character,Letter Size,Letter Size characteristic,Baseline,B_characteristic,Slant,S_characteristic,Grade,Letter grade,Pass no pass 60
S1,I1,middle,moderate self-esteem,middle,normal desire to be noticed,straight,balanced,straight,"rational, and very independent emotionally and in work",60.7,D-,P
S2,I2,low,low self-esteem,small,prefers not to be noticed,ascending,optimistic,straight,"rational, and very independent emotionally and in work",75.8,C,P
S3,I3,low,low self-esteem,middle,normal desire to be noticed,straight,balanced,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",48.55,F,NP
S4,I4,middle,moderate self-esteem,middle,normal desire to be noticed,straight,balanced,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",60.2,D-,P
S5,I5,high,high self-esteem,middle,normal desire to be noticed,ascending,optimistic,straight,"rational, and very independent emotionally and in work",43,F,NP
S6,I6,low,low self-esteem,middle,normal desire to be noticed,descending,pessimistic,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",75.65,C,P
S7,I7,middle,moderate self-esteem,small,prefers not to be noticed,descending,pessimistic,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",47.6,F,NP
S8,I8,high,high self-esteem,large,high desire to be noticed,ascending,optimistic,extreme right,"impulsive and very expressive behavior, with a lack of self-control and low tolerance for frustration",36,F,NP
S9,I9,middle,moderate self-esteem,middle,normal desire to be noticed,ascending,optimistic,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",8.25,F,NP
S10,I10,high,high self-esteem,large,high desire to be noticed,straight,balanced,straight,"rational, and very independent emotionally and in work",59.7,F,P
S11,I11,low,low self-esteem,middle,normal desire to be noticed,straight,balanced,right,"expressiveness, freedom in thought and emotions, extrovertedness, and orientation towards the future",21.7,F,NP
S12,I12,high,high self-esteem,large,high desire to be noticed,straight,balanced,straight,"rational, and very independent emotionally and in work",76.75,C+,P
